Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,btts,over_2_5,result,home_form,away_form,h2h_wins,home_avg_gs,home_avg_gc,away_avg_gs,away_avg_gc,form_diff,gs_diff,gc_diff
2015-08-21,Malaga,Sevilla,0,0,D,0,0,1,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-22,Ath Madrid,Las Palmas,1,0,H,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-22,Espanol,Getafe,1,0,H,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-22,La Coruna,Sociedad,0,0,D,0,0,1,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-22,Vallecano,Valencia,0,0,D,0,0,1,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-23,Levante,Celta,1,2,A,1,1,2,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-23,Sp Gijon,Real Madrid,0,0,D,0,0,1,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-23,Ath Bilbao,Barcelona,0,1,A,0,0,2,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-23,Betis,Villarreal,1,1,D,1,0,1,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-24,Granada,Eibar,1,3,A,1,1,2,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-28,Villarreal,Espanol,3,1,H,1,1,0,1,3,0,1.0,1.0,1.0,1.0,-2,0.0,0.0
2015-08-29,Barcelona,Malaga,1,0,H,0,0,0,3,1,0,1.0,1.0,1.0,1.0,2,0.0,0.0
2015-08-29,Celta,Vallecano,3,0,H,0,1,0,3,1,0,1.0,1.0,1.0,1.0,2,0.0,0.0
2015-08-29,Real Madrid,Betis,5,0,H,0,1,0,1,1,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-29,Sociedad,Sp Gijon,0,0,D,0,0,1,1,1,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-30,Valencia,La Coruna,1,1,D,1,0,1,1,1,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-30,Sevilla,Ath Madrid,0,3,A,0,1,2,1,3,0,1.0,1.0,1.0,1.0,-2,0.0,0.0
2015-08-30,Getafe,Granada,1,2,A,1,1,2,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-08-30,Eibar,Ath Bilbao,2,0,H,0,0,0,3,0,0,1.0,1.0,1.0,1.0,3,0.0,0.0
2015-08-30,Las Palmas,Levante,0,0,D,0,0,1,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-09-11,Levante,Sevilla,1,1,D,1,0,1,1,1,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-09-12,Ath Madrid,Barcelona,1,2,A,1,1,2,6,6,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-09-12,Betis,Sociedad,1,0,H,0,0,0,1,2,0,1.0,1.0,1.0,1.0,-1,0.0,0.0
2015-09-12,Espanol,Real Madrid,0,6,A,0,1,2,3,4,0,1.0,1.0,1.0,1.0,-1,0.0,0.0
2015-09-12,Sp Gijon,Valencia,0,1,A,0,0,2,2,2,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-09-13,Ath Bilbao,Getafe,3,1,H,1,1,0,0,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-09-13,Celta,Las Palmas,3,3,D,1,1,1,6,1,0,1.0,1.0,1.0,1.0,5,0.0,0.0
2015-09-13,Granada,Villarreal,1,3,A,1,1,2,3,4,0,1.0,1.0,1.0,1.0,-1,0.0,0.0
2015-09-13,Malaga,Eibar,0,0,D,0,0,1,1,6,0,1.0,1.0,1.0,1.0,-5,0.0,0.0
2015-09-14,Vallecano,La Coruna,1,3,A,1,1,2,1,2,0,1.0,1.0,1.0,1.0,-1,0.0,0.0
2015-09-18,Getafe,Malaga,1,0,H,0,0,0,0,2,0,1.0,1.0,1.0,1.0,-2,0.0,0.0
2015-09-19,Valencia,Betis,0,0,D,0,0,1,5,4,0,1.0,1.0,1.0,1.0,1,0.0,0.0
2015-09-19,Sociedad,Espanol,2,3,A,1,1,2,2,3,0,1.0,1.0,1.0,1.0,-1,0.0,0.0
